Song Name,Artist(s),Album,Duration
Birthday,Anne-Marie,Birthday,3:01
BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,3:10
SCOOP (feat. Doja Cat),"Lil Nas X, Doja Cat",MONTERO,2:54
She Doesn't Mind,Sean Paul,Tomahawk Technique,3:47
hotline (edit),Billie Eilish,hotline (edit),1:00
just friends,potsu,just friends,2:52
3la Bali,Sherine,Lazem A3eesh,4:39
Crazy In Love (feat. JAY-Z),"Beyoncé, JAY-Z",Dangerously In Love,3:55
You and I,d4vd,Petals to Thorns,2:32
No Wahala,1da Banton,Original Vibe Machine,2:42
Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",The Heist,4:18
I Follow Rivers x Meet Me Halfway - Medley Version,smashup,I Follow Rivers x Meet Me Halfway (Medley Version),4:00
Maniac,Michael Sembello,Flashdance (Original Soundtrack From The Motion Picture),4:04
No Idea,Don Toliver,Heaven Or Hell,2:34
Shapeshifter,Indi Star,eMotion Sick,2:04
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,4:11
You Get Me So High,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,2:33
Toosie Slide,Drake,Dark Lane Demo Tapes,4:07
We No Speak Americano (Edit),"Yolanda Be Cool, DCup",We No Speak Americano,2:37
ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",Lover,3:13
Butterflies,Issey Cross,Butterflies,2:40
Don't Be so Shy - Filatov & Karas Remix,"Imany, Filatov & Karas",The Wrong Kind of War,3:11
Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",No.6 Collaborations Project,3:17
Blur,Stellar,Blur,2:11
i like the way you kiss me,Artemas,yustyna,2:22
Heartless,Kanye West,808s & Heartbreak,3:31
Free (Mood II Swing Radio Edit),"Ultra Naté, Mood II Swing",Free - The Strictly Collection,3:53
Doubt,Twenty One Pilots,Blurryface,3:11
Where Are You Now,"Lost Frequencies, Calum Scott",All Stand Together,2:29
Clementine,"Ditch Days, Laure Briard",Blossom,3:00
La Tortura (feat. Alejandro Sanz),"Shakira, Alejandro Sanz",Fijación Oral Volumen 1 (Expanded Edition),3:36
Self Control,Laura Branigan,Self Control,4:06
September,"Earth, Wind & Fire",September (sped up + slowed),3:36
I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),3:39
Who's That Chick? (feat. Rihanna),"David Guetta, Rihanna",One More Love,3:21
Leave The Lights On,Meiko,The Bright Side,4:08
Angry Birds Theme,Ari Pulkkinen,Angry Birds (Original Game Soundtrack Extended Edition),1:08
Bad Dreams,Teddy Swims,I've Tried Everything But Therapy (Part 2),3:04
Don't Worry (with Ray Dalton) - Radio Edit,"Madcon, Ray Dalton",Don't Worry (feat. Ray Dalton),3:34
Butterflies,Giulio Cercato,Butterflies,2:59
Just Can’t Get Enough,Black Eyed Peas,The Beginning,3:39
Rise,Lynnic,Rise,3:01
Can I Get It,Adele,3:30,
Snakes (from the series Arcane League of Legends),"MIYAVI, PVRIS, Arcane, League of Legends",Snakes (from the series Arcane League of Legends),2:41
Dirty Thoughts,Chloe Adams,The Monster You Made Me,2:09
Chlorine,Twenty One Pilots,Trench,5:24
Gucci Gang,Lil Pump,Lil Pump,2:04
STARGAZING,Travis Scott,ASTROWORLD,4:30
SexOnTheBeat,ADÉLA,The Provocateur,2:46
Caramelldancing - Radio Version,Caramella Girls,Caramelldancing,2:56
Feel It (From “Invincible”),d4vd,Feel It (From “Invincible”),2:37
Shut up My Moms Calling (Sped up),Hotel Ugly,Shut up My Moms Calling (Sped up),2:15
Better,Khalid,Suncity,3:49
Sun,Derik Fein,Derik Fein Essentials,3:02
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Voulez-Vous,4:52
California Dreamin' - Single Version,The Mamas & The Papas,If You Can Believe Your Eyes & Ears,2:42
Because You Move Me,"Tinlicker, Helsloot",Because You Move Me,3:16
Ghost,Justin Bieber,Justice,2:33
HOV - Remix,"Connor Price, Nic D, GRAHAM",HOV (Remix),2:46
La Isla Bonita,Madonna,True Blue,4:02
Dead Or Alive,"Stileto, Madalen Duke",Dead or Alive,2:27
Praise The Lord (Da Shine) (feat. Skepta),"A$AP Rocky, Skepta",TESTING,3:25
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Future Nostalgia,3:23
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine",Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2:49
Ma Baker,Boney M.,Love For Sale,4:36
Me and the Devil,Soap&Skin,Sugarbread,3:05
5% TINT,Travis Scott,ASTROWORLD,3:16
Passionfruit,Drake,More Life,4:58
Adriana Lima,Marwan Moussa,Adriana Lima,3:01
Skyfall,Adele,Skyfall,4:46
Rise Up,TheFatRat,Rise Up,2:49
GIANTS,"True Damage, Becky G, Keke Palmer, SOYEON, Duckwrth, Thutmose, League of Legends",GIANTS,3:11
Cheri Cheri Lady,Modern Talking,Let's Talk About Love,3:46
Hot,INNA,Hot,3:37
Stronger,Kanye West,Graduation,5:11
Scarface (Push It To The Limit),Paul Engemann,Scarface (Expanded Motion Picture Soundtrack),2:58
Somebody That I Used To Know,"Gotye, Kimbra",Making Mirrors,4:04
Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,3:32
Phoenix,"Netrum, Halvorsen",Phoenix,3:58
Eleven Weeks,Vansire,"The Rolling, Driftless North",3:05
Shower,Becky G,Shower,3:26
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),10:13
Training Season,Dua Lipa,Radical Optimism,3:29
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",Peace Is the Mission,2:56
Kadaba,Karim Osama,Kadaba,2:55
JOKER,Dax,JOKER,4:07
Cry,Cigarettes After Sex,Cry,4:16
End of Beginning,Djo,DECIDE,2:39
Fisherman's Blues - 2006 Remaster,The Waterboys,Fisherman's Blues,4:26
All The Things She Said,"Seraphine, Jasmine Clarke",All The Things She Said,2:11
Hit the Road Jack,Ray Charles,True Genius,1:59
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",Popular (Music from the HBO Original Series),3:35
What Did I Miss?,Drake,What Did I Miss?,3:14
Did It Again,Lil Tecca,We Love You Tecca,1:56
I Am Rock,rock,"EA Sports Soundtrax, Vol. 1 (Original Soundtrack)",3:50
Mortals,Warriyo,Mortals,3:48
International Love (feat. Chris Brown),"Pitbull, Chris Brown",Planet Pit (Deluxe Version),3:47
Happier,"Marshmello, Bastille",Happier,3:34
Burn,Ellie Goulding,Halcyon Nights,3:51
Toca Toca,Fly Project,Toca Toca (Remixes),2:45
2 On (feat. ScHoolboy Q),"Tinashe, ScHoolboy Q",Aquarius,3:47
Brazil,"Afroto, Marwan Moussa",SAN STEFANO,3:32
مرزمن,Shehab,مرزمن,2:55
Lady - Hear Me Tonight,Modjo,Modjo (Remastered),5:07
DEVIL IS A LIE,Tommy Richman,DEVIL IS A LIE,2:10
Don’t Click Play,Ava Max,Don't Click Play,2:28
Meen Ysadak,"nour, Eldab3",Meen Ysadak,3:06
Bring Home The Glory,"League of Legends, Sara Skinner",Bring Home The Glory,2:59
This Is What You Came For,"Calvin Harris, Rihanna",This Is What You Came For,3:42
Easy On Me,Adele,3:44,
Loser,Charlie Puth,CHARLIE,3:24
Love Story (Taylor’s Version),Taylor Swift,Love Story (Taylor’s Version),3:55
All That Matters,Justin Bieber,Journals,3:11
Chantaje (feat. Maluma),"Shakira, Maluma",El Dorado,3:15
Dernière danse,Indila,Mini World,3:33
Got 2 Luv U (feat. Alexis Jordan),"Sean Paul, Alexis Jordan",Tomahawk Technique,3:24
London's Rain,Play & Win,Change the World,3:24
Kings & Queens,Ava Max,Heaven & Hell,2:42
Into The Ocean,"MALIAN, twocolouredman",Into The Ocean,3:17
Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",Carte Blanche,3:05
Sweater Weather,The Neighbourhood,I Love You.,4:00
Radioactive,Imagine Dragons,Night Visions,3:06
That's What I Like,Bruno Mars,24K Magic,3:26
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),3:30
Hunger,TheFatRat,Hunger,3:01
Everyday Normal Guy 2,Jon Lajoie,You Want Some of This?,3:15
Boogie Wonderland (with The Emotions),"Earth, Wind & Fire, The Emotions",I Am,4:48
LUNCH,Billie Eilish,HIT ME HARD AND SOFT,2:59
The Way I Are - Extended Version,"Timbaland, Keri Hilson, D.O.E., Sebastian",New Year's Eve,3:35
THATS WHAT I WANT,Lil Nas X,MONTERO,2:23
Don't Worry (with Ray Dalton) - Radio Edit,"Madcon, Ray Dalton",Don't Worry (feat. Ray Dalton),3:34
Everything,Diamond Eyes,Everything,4:27
Mrs Magic,Strawberry Guy,Mrs Magic,3:28
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb","At Night, Alone.",3:17
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",United,2:31
Better,Khalid,Suncity,3:49
Cradles,Sub Urban,Cradles,3:29
Mockingbird,Eminem,Encore (Deluxe Version),4:10
Elastic Heart,Sia,1000 Forms Of Fear,4:17
Solo (feat. Demi Lovato),"Clean Bandit, Demi Lovato",Solo (feat. Demi Lovato),3:42
Paint The Town Red,Doja Cat,Scarlet,3:50
Freaks,Surf Curse,Freaks,2:27
2 Hold U,Clairo,2 Hold U,1:58
Kisses (feat. bbyclose),"BL3SS, CamrinWatsin, bbyclose",Kisses (feat. bbyclose),2:18
Outlaw,"It's Different, Miss Mary",Outlaw,4:20
Wait a Minute!,WILLOW,ARDIPITHECUS,3:16
Notion,The Rare Occasions,Notion,3:15
Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel, 24kGoldn",Tick Tock (feat. 24kGoldn),2:58
Hotline Bling,Drake,Views,4:27
Take You Dancing,Jason Derulo,Nu King,3:10
Wham Bam Shang-A-Lang,Silver,Silver,3:32
Akhret Al Shaqawa,"Ahmed Mekky, Mahmoud El Leithy",Akhret Al Shaqawa,5:53
Cake By The Ocean,DNCE,DNCE,3:39
Magnetic,ILLIT,SUPER REAL ME,2:40
Go Round,Giulio Cercato,Go Round,2:16
Ghaba,Marwan Pablo,CTRL,3:04
Boy With Luv (feat. Halsey),"BTS, Halsey",MAP OF THE SOUL : PERSONA,3:49
death bed (coffee for your head),"Powfu, beabadoobee",death bed (coffee for your head),2:53
Fired Up,Hush,Bulletproof,3:26
Sweat (A La La La La Long),Inner Circle,Sweat (A La La La La Long),3:49
Just Dance,"Lady Gaga, Colby O'Donis",The Fame,4:01
Spinnin,"Connor Price, Bens",Spin The Globe,1:50
2step,Ed Sheeran,2:33,
In And Out Of Love - Slowed Version,"Armin van Buuren, Sharon Den Adel",In And Out Of Love (Slowed Version),2:13
Kiss Me More (feat. SZA),"Doja Cat, SZA",Planet Her,3:28
Dark Horse,"Katy Perry, Juicy J",PRISM,3:35
Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",Music To Be Murdered By,3:30
Song for Denise,Piano Fantasia,Best of Collector: Piano Fantasia (Le meilleur des années 80),3:12
(I Just) Died In Your Arms,Cutting Crew,Broadcast,4:40
Everyday Normal Guy,Jon Lajoie,You Want Some of This?,3:21
"Relax, Take It Easy",MIKA,Life In Cartoon Motion,4:30
I Sent My Therapist To Therapy,Alec Benjamin,I Sent My Therapist To Therapy,3:00
HOLIDAY,Lil Nas X,HOLIDAY,2:34
chess,joyful,chess,1:56
Did It Again,Lil Tecca,We Love You Tecca,1:56
Make Me Move,"Culture Code, Karra",Make Me Move,3:17
The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,3:16
down to the river,Mitchel Dae,down to the river,2:46
Nevada,"Vicetone, Cozi Zuehlsdorff",Nevada,3:28
Maze Of Memories,"Lynnic, ItsArius, Dinia",Maze Of Memories,3:23
2 Phút Hơn - KAIZ Remix,"Pháo, KAIZ",2 Phút Hơn (KAIZ Remix),3:03
Che La Luna,"Louis Prima, Sam Butera & The Witnesses",Angelina,2:32
Phoenix,"League of Legends, Cailin Russo, Chrissy Costanza",Phoenix,3:17
Better Call Saul Theme,TV Sounds Unlimited,Better Call Saul Soundtrack (Inspired),3:18
TRAPPED IN MY MIND,Adam Oh,SEVERANCE,3:36
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean","Oral Fixation, Vol. 2 (Expanded Edition)",3:38
Swing Lynn,Harmless,I'm Sure,5:21
Bghit W Ga3ma 7assit,Zouhair Bahaoui,Bghit W Ga3ma 7assit,4:35
Nothing Breaks Like a Heart (feat. Miley Cyrus),"Mark Ronson, Miley Cyrus",Late Night Feelings,3:37
Arhbo [Arabic Version],"Ayed, Nasser Al Kubaisi, Haneen Hussain, FIFA Sound",Arhbo [Arabic Version],3:22
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Hollywood's Bleeding,2:37
Physical,Dua Lipa,Future Nostalgia,3:13
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),3:34
Pretty Girl,Clairo,Pretty Girl,2:58
Safe and Sound,Capital Cities,In A Tidal Wave of Mystery,3:12
Live It Up,"Jennifer Lopez, Pitbull",Live It Up,4:03
Bad Days,Levent Geiger,Bad Days,2:22
Gabriel,"Hydawai, CMC$, Benji",Gabriel,3:17
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",HEROES & VILLAINS,3:41
In Love,"Minelli, INNA",In Love,2:48
Goth,Sidewalks and Skeletons,White Light,3:27
Weyu,"Lucas Estrada, Lenji, Amadi Blue",Weyu,2:13
Space Cadet (feat. Gunna),"Metro Boomin, Gunna",NOT ALL HEROES WEAR CAPES (Deluxe),3:23
Is There Someone Else?,The Weeknd,Dawn FM,3:19
Feel It Still,Portugal. The Man,Woodstock,2:43
On & On,INNA,Hot,4:37
Don't Bring Me Down,Electric Light Orchestra,Discovery,4:03
PRIMPERAN,"Ahmed Santa, Hussein Yasser",PRIMPERAN,2:30
Die For You,"VALORANT, Grabbitz",VALORANT Sounds Vol. 1,3:32
Take What You Want (feat. Ozzy Osbourne & Travis Scott),"Post Malone, Ozzy Osbourne, Travis Scott",Hollywood's Bleeding,3:49
In Your Eyes,The Weeknd,After Hours,3:57
Escapism.,"RAYE, 070 Shake",Escapism.,4:32
Loonboon,Laura Shigihara,Plants Vs. Zombies (Original Video Game Soundtrack),1:47
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),3:30
