Song Name,Artist(s),Album,Duration
Shake It To The Max (Done With Ya Ex),"MOLIY, Silent Addy, Gladdest",Shake It To The Max (Done With Ya Ex),1:33
Free (Mood II Swing Radio Edit),"Ultra Naté, Mood II Swing",Free - The Strictly Collection,3:53
Blinding Lights,The Weeknd,After Hours,3:20
Savannah,"Diviners, Philly K.",Savannah,3:28
MAYDAY,"TheFatRat, Laura Brehm",MAYDAY,4:07
Barking,Ramz,Blockbuster,3:24
Shameless,Camila Cabello,Romance,3:39
Brother Louie,Modern Talking,Ready For Romance,3:42
JOKER,Dax,JOKER,4:07
The Ketchup Song (Aserejé) - Spanish Version,Las Ketchup,Aserejé (The Ketchup Song),3:33
Baby Come Back,Player,Player,4:15
One Right Now (with The Weeknd),"Post Malone, The Weeknd",Twelve Carat Toothache,3:12
These Days,Connor Price,These Days,2:28
Late Nights,"ItsArius, Lynnic, Kezano",Late Nights,2:31
Low (feat. T-Pain),"Flo Rida, T-Pain",Mail on Sunday,3:51
Sweater Weather,The Neighbourhood,I Love You.,4:00
We Are,Aldrin Basister,We Are,3:57
Black and Yellow,Wiz Khalifa,Rolling Papers,3:37
Think,Kaleida,Tear the Roots,3:31
Mary On A Cross,Ghost,Seven Inches of Satanic Panic,4:04
That's What I Like,Bruno Mars,24K Magic,3:26
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",Planet Pit (Deluxe Version),4:12
Dawly,"El Waili, Moscow",Dawly,3:16
Birthday,Anne-Marie,Birthday,3:01
What A Wonderful World,Louis Armstrong,What A Wonderful World,2:19
NOKIA,Drake,$ome $exy $ongs 4 U,4:01
Riley,Juicy J,Blue Dream & Lean,2:53
Yay Yay Ya Nassini,Georgette Sayegh,The Best Of Georgette Sayegh,2:19
Heathens,Twenty One Pilots,Heathens,3:15
The Winner Takes It All,ABBA,Super Trouper,4:54
Sexual Healing,Marvin Gaye,Midnight Love,3:58
Rolling in the Deep,Adele,3:48,
Hypnotized,"Purple Disco Machine, Sophie and the Giants",Exotica,3:15
Can't Be Touched (feat. Mr. Magic & Trouble),"Roy Jones Jr., Mr Magic, Trouble","Body Head Bangerz, Vol. 1",3:34
Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",HEROES & VILLAINS,3:19
Set Fire to the Rain,Adele,4:02,
What I've Done,Linkin Park,Minutes to Midnight,3:25
Yummy,Justin Bieber,Yummy,3:30
It's Not so Bad,Dybbukk,It&#039;s Not so Bad,2:20
Addicted,"Zerb, The Chainsmokers, Ink",Addicted,2:32
One Last Time,Ariana Grande,My Everything,3:17
500lbs,Lil Tecca,TEC,2:24
Scared to Be Lonely,"Martin Garrix, Dua Lipa",Scared to Be Lonely,3:40
Indomptable,Nej,Enchantée,3:27
Give It To Me,"Timbaland, Justin Timberlake, Nelly Furtado",Shock Value,3:54
Your Love Is My Drug 8 Bit - Slowed + Bass + Reverb Far,just valery,Your Love Is My Drug 8 Bit (Collection),2:20
Slow Motion,Play & Win,Change the World,3:33
Nirvana,INNA,Nirvana,3:14
Too Sweet,Hozier,Unreal Unearth: Unaired,4:11
Love Yourself,Justin Bieber,Purpose (Deluxe),3:53
Kiss It Better,Rihanna,ANTI (Deluxe),4:13
Rise,"Jonas Blue, Jack & Jack",Blue,3:14
Jolie Fille (feat. Layefa),"Maz, Antdot, Ginton, Layefa",Jolie Fille (feat. Layefa),3:14
Sunroof,"Nicky Youre, hey daisy",Good Times Go,2:43
What Do You Mean?,Justin Bieber,Purpose (Deluxe),3:25
The Bottomless Hole,The Handsome Family,Singing Bones,3:13
Rasputin,"Majestic, Boney M.",Rasputin,3:06
Animals,Maroon 5,3:51,
Hold the Line,TOTO,Toto,3:55
Cure For Me,AURORA,The Gods We Can Touch,3:18
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, ,",Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2:49
Ocean Drive,Duke Dumont,Duality,3:26
Desire - Play & Win Radio Edit,Morris,Declaratie De Dragoste (Vol. 5),3:32
3la Bali,Sherine,Lazem A3eesh,4:39
Why We Lose,"Cartoon, Jéja, Coleman Trapp",Why We Lose,3:17
I Need Your Love,"Calvin Harris, Ellie Goulding",Halcyon Nights,3:55
Let Me Down Slowly (feat. Alessia Cara),"Alec Benjamin, Alessia Cara",Let Me Down Slowly (feat. Alessia Cara),2:49
Looking at Me,Sabrina Carpenter,Singular Act II,3:01
Army,"Besomorph, Arcando, Neoni",Army,3:23
Bum Bum Tam Tam,"MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán",Bum Bum Tam Tam,3:33
Starboy,"The Weeknd, Daft Punk",Starboy,3:50
Call Out My Name,The Weeknd,"My Dear Melancholy,",3:48
Whatever It Takes,Imagine Dragons,Evolve,3:21
Evergreen,Richy Mitch & The Coal Miners,RMCM,1:27
everything sucks,vaultboy,everything sucks,1:55
Signs,Drake,Signs,3:54
Alone,Marshmello,Alone,4:33
London's Rain,Play & Win,Change the World,3:24
simple.,coldbrew,simple.,1:57
Calm Down,Rema,Calm Down,3:39
Light It Up (feat. Nyla & Fuse ODG) [Remix],"Major Lazer, Nyla, Fuse ODG",Peace Is The Mission : Extended,2:46
she's all i wanna be,Tate McRae,i used to think i could fly,3:27
Young And Beautiful - Afro House Version,"Anthony Keyrouz, Nito-Onna",Young And Beautiful (Afro House Version),3:19
Ark,"Star Party, Zookeepers",Ark,3:00
World's Smallest Violin,AJR,OK ORCHESTRA,3:00
Clocks,Coldplay,A Rush of Blood to the Head,5:07
Arhbo [Arabic Version],"Ayed, Nasser Al Kubaisi, Haneen Hussain,",Arhbo [Arabic Version],3:22
The Color Violet,Tory Lanez,Alone At Prom,3:46
Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",Sugar,3:39
Only Girl (In The World),Rihanna,Loud,3:55
Maps,Maroon 5,3:09,
Cancion Del Mariachi,Antonio Banderas,Cancion Del Mariachi,2:07
good 4 u,Olivia Rodrigo,SOUR,2:58
Dancin - Krono Remix,"Aaron Smith, Luvli, Krono",Ibiza 2019,4:16
As It Was,Harry Styles,Harry's House,2:47
Running With The Wolves,AURORA,All My Demons Greeting Me As A Friend (Deluxe),3:14
Vaitimbora,"Mariana Froes, Trinix",Vaitimbora,2:15
Ringtone,Isentie,Lunar Microscope,3:36
Set Fire to the Rain,Adele,4:02,
Without Me,Eminem,The Eminem Show,4:50
Love,INNA,Hot,3:38
7ALA,Afroto,7ALA,3:01
Caribbean Queen (No More Love On the Run),Billy Ocean,The Very Best of Billy Ocean,4:04
Ma 3Aleena,Shahyn,Ma 3Aleena,3:26
"Alone, Pt. II","Alan Walker, Ava Max",World Of Walker,2:59
Cruel Summer,Taylor Swift,Lover,2:58
Shake It To The Max (FLY) - Extended,AntonioVivald,Shake It To The Max (FLY) [Extended],2:07
Control,"Unknown Brain, Jex, Rival",Control,2:46
No Lie,"Sean Paul, Dua Lipa",Mad Love The Prequel,3:41
The Way I Are,"Timbaland, Keri Hilson, D.O.E.",Shock Value,2:59
Matrimony,Gilbert O'Sullivan,Himself (Deluxe Edition),3:18
Break Your Heart,"Taio Cruz, Ludacris",Rokstarr (Special Edition),3:05
bloodline,Ariana Grande,"thank u, next",3:36
World's Smallest Violin,AJR,OK ORCHESTRA,3:00
double take,Dhruv,rapunzel,2:51
doodle - Slowed,Zachz Winner,doodle (Remix),1:33
Clair,Gilbert O'Sullivan,Back to Front (Deluxe Edition),3:02
That's Life,Frank Sinatra,That's Life,3:07
Mojo,Alicia Aylies,Mojo,3:07
Light It Up (feat. Nyla & Fuse ODG) [Remix],"Major Lazer, Nyla, Fuse ODG",Peace Is The Mission : Extended,2:46
Harleys In Hawaii,Katy Perry,Smile,3:05
Prayer in C - Robin Schulz Radio Edit,"Lilly Wood and The Prick, Robin Schulz",Prayer in C,3:09
Ordinary,Alex Warren,"You'll Be Alright, Kid (Chapter 1)",3:06
HEAVEN AND BACK,Chase Atlantic,PHASES,4:08
Like That (feat. Gucci Mane),"Doja Cat, Gucci Mane",Hot Pink,2:43
Say My Name,"David Guetta, Bebe Rexha, J Balvin",Say My Name (Remixes),3:18
It's My Ego,Ice Cube,It's My Ego,3:46
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Hollywood's Bleeding,2:37
"Far From Any Road - Main Title Theme from ""True Detective""",The Handsome Family,"Far From Any Road (Main Title Theme from ""True Detective"")",2:46
Eu Sento Gabu!,PXLWYSE,Eu Sento Gabu!,1:23
West Coast,Courtney Storm,West Coast,3:47
Boom Boom Pow,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],4:11
Sugar,Maroon 5,3:55,
Stayin' Alive,Bee Gees,Staying Alive (Original Motion Picture Soundtrack),1:32
Happy Nation,Ace of Base,Happy Nation,4:15
MONTERO (Call Me By Your Name),Lil Nas X,MONTERO,2:17
greedy,Tate McRae,greedy,2:11
Johnny B. Goode,Chuck Berry,Berry Is On Top,2:41
"Zeri, the Spark of Zaun","League of Legends, Lauren Babic","Zeri, the Spark of Zaun",3:33
Jezebel,Sade,The Best of Sade,5:29
Bum Bum Tam Tam,"MC Fioti, Future, J Balvin, Stefflon Don,",Bum Bum Tam Tam,3:33
On The Floor,"Jennifer Lopez, Pitbull",Love?,4:44
Sweet Dreams (Are Made of This) - 2005 Remaster,"Eurythmics, Annie Lennox, Dave Stewart",Sweet Dreams (Are Made Of This),3:36
Only,Play & Win,Change the World,4:08
Bad boy,Marwa Loud,Loud,3:07
Like Sunshine,"Lavern, Sigala",Like Sunshine,2:43
Morena,"Tom Boxer, Antonia",This Is Antonia,3:34
I'm Still Standing,Elton John,Too Low For Zero,3:03
Shake it,MOLIY,Mahogany St,2:46
Gimme Gimme Gimme (a man after midnight),Syzz,Gimme Gimme Gimme (a man after midnight),2:32
Break My Heart,Dua Lipa,Future Nostalgia,3:41
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,3:59
In And Out Of Love - Slowed Version,"Armin van Buuren, Sharon Den Adel",In And Out Of Love (Slowed Version),2:13
Coffee Cold,Galt MacDermot,Shapes of Rhythm/Woman Is Sweeter,3:25
I Never Felt so Right - Radio Mix,Ben Delay,I Never Felt so Right,3:41
It's Going Down Now,"Azumi Takahashi, Lotus Juice, ATLUS Sound Team, ATLUS GAME MUSIC",Persona 3 Reload Original Soundtrack,3:06
Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",Uptown Special,4:29
you broke me first,Tate McRae,TOO YOUNG TO BE SAD,2:50
Hold On,Justin Bieber,Justice,2:50
Tempo,Trevor Daniel,Tempo,2:50
You Right,"Doja Cat, The Weeknd",Planet Her,3:06
Too Sweet,Hozier,Unreal Unearth: Unaired,4:11
Chasing Pavements,Adele,3:30,
Goodbye Yellow Brick Road - Remastered 2014,Elton John,Goodbye Yellow Brick Road (Remastered),3:12
Tesla,Marwan Moussa,Florida,3:06
Wake Me Up,Avicii,True,4:07
Wake Me Up,Avicii,True,4:07
Ghareibah El Nas,Wael Jassar,Tewedny Leih,4:24
Hymn for the Weekend,Coldplay,A Head Full of Dreams,4:18
Against All Odds,"League of Legends Music, Jasmine Clarke",Against All Odds,3:02
Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe),4:08
Substitution (feat. Julian Perretta),"Purple Disco Machine, Kungs, Julian Perretta",Paradise,3:01
Song for Denise - Maxi version,Piano Fantasia,Best of Collector: Piano Fantasia (Le meilleur des années 80),7:02
Lost in the Fire (feat. The Weeknd),"Gesaffelstein, The Weeknd",Hyperion,3:22
Without Me,Halsey,Without Me,3:21
Still Here,"League of Legends, Forts, 2WEI, Tiffany Aris",Still Here,4:12
The Kid I Used to Know,Arrested Youth,Sobville (Episode I),2:25
This Is The Life,Amy Macdonald,This Is The Life (eDeluxe),3:04
You Spin Me Round (Like a Record),Dead Or Alive,Evolution: The Hits,3:15
Beautiful People,"David Guetta, Sia",Beautiful People,3:07
PASSO BEM SOLTO - Slowed,ATLXS,PASSO BEM SOLTO,1:56
Ringtone,Isentie,Lunar Microscope,3:36
Send My Love (To Your New Lover),Adele,3:43,
Can't Tell Me Nothing,Kanye West,Graduation,4:31
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2:46
Radioactive,Imagine Dragons,Night Visions,3:06
Sweet Release,Nu Aspect,Sweet Release,3:46
Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",Confessions (Expanded Edition),4:10
Dancin (feat. Luvli) - Krono Remix,"Aaron Smith, Krono, Luvli",Dancin (feat. Luvli) [Krono Remix],3:18
03' Bonnie & Clyde,"JAY-Z, Beyoncé",The Blueprint 2: The Gift & The Curse,3:25
Let's Groove,"Earth, Wind & Fire",Raise!,5:39
"What Is Love - 7"" Mix",Haddaway,The Album,4:30
Warriors,Imagine Dragons,Smoke + Mirrors (Deluxe),2:51
Perfect 10,"Unknown Brain, Heather Sommer",Perfect 10,3:24
PARANOID,Chase Atlantic,BEAUTY IN DEATH,3:40
Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Anne-Marie, Sean Paul",Speak Your Mind (Deluxe),4:10
Rabiosa (feat. Pitbull),"Shakira, Pitbull",Sale el Sol,2:50
I Don't Wanna Know,"Buzz Low, BACOLE, Kuala",I Don't Wanna Know,2:26
Africa,TOTO,Toto IV,4:55
Bones,Imagine Dragons,Bones,2:45
Hard to Breathe,payton,Hard to Breathe,2:50
Anne-Marie,Speak Your Mind (Deluxe),3:06,
Sharks,Imagine Dragons,Sharks,3:10
I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2:28
The Greatest,Sia,This Is Acting (Deluxe Version),3:30
Pump It,Black Eyed Peas,Monkey Business,3:33
Shape Of My Heart,Sting,Ten Summoner's Tales,4:39
Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams),"C & C Music Factory, Freedom Williams",Super Hits,4:04
rocket science,vaultboy,rocket science,2:32
Nine Thou - Grant Mohrman Superstars Remix,"Styles Of Beyond, Grant Mohrman",Nine Thou (Grant Mohrman Superstars Remix),4:03
Bad Habits,Ed Sheeran,3:50,
Circle,"Netrum, Halvorsen",Circle,3:58
I Will Survive,Gloria Gaynor,Love Tracks,4:56
You Can Call Me Al,Paul Simon,Graceland (25th Anniversary Deluxe Edition),4:40
PASSO BEM SOLTO - Ultra Slowed,ATLXS,PASSO BEM SOLTO (Versions),2:17
Helium,"The Chainsmokers, Anna Sofia",Helium,2:18
Around the World (La La La La La),"A Touch Of Class, Pete Konemann",Planet Pop,3:34
"بعودة يا بلادى ( من فيلم "" كباتن الزعتري "")",Wegz,"بعودة يا بلادى ( من فيلم "" كباتن الزعتري "")",3:11
Shape Of My Heart,Sting,Ten Summoner's Tales,4:39
positions,Ariana Grande,Positions,2:52
Symphony (feat. Zara Larsson),"Clean Bandit, Zara Larsson",What Is Love? (Deluxe Edition),3:32
Shadows,"It's Different, Miss Mary",Shadows,3:13
Where We Started,"Jex, Lost Sky",Where We Started,3:42
The Final Countdown,Europe,The Final Countdown (Expanded Edition),5:10
Weyu,"Lucas Estrada, Lenji, Amadi Blue",Weyu,2:13
I Bet,Ciara,I Bet,4:47
What A Feeling,"Courtney Storm, Finley Brückner",Colorize 2025 Spring Sampler,3:26
Long Way 2 Go,Cassie,Cassie (U.S. Version),3:40
Smooth Operator - TikTok Remix,"Scammacist, MYKA, KYRA",Smooth Operator - TikTok Remix,4:02
What's In a Kiss (Guitar Version),Gilbert O'Sullivan,Rare Tracks,2:38
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money, Gunna, Don Toliver, Lil Uzi Vert","His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",3:44
Me And My Broken Heart,Rixton,Let The Road,3:13
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",MONTERO,3:32
GIANTS,"True Damage, Becky G, Keke Palmer, SOYEON, , ,",GIANTS,3:11
soso,Omah Lay,Boy Alone (Deluxe Edition),3:03
On My Level (feat. Too $hort),"Wiz Khalifa, Too $hort",Rolling Papers,4:32
Come and Get Your Love - Single Version,Redbone,Come and Get Your Love,3:25
Tach It,GANGSTER GANG,Tach It,3:51
Lay All Your Love On Me,ABBA,Super Trouper,4:34
One More Night,Maroon 5,Overexposed,3:39
Stereo Love - Radio Edit,"Edward Maya, Vika Jigulina",Stereo Love,3:04
A Little Bit Colder,stream_error,Stream_error,1:52
Mortals,Warriyo,Mortals,3:48
Fly Me To The Moon - Remix,remorse,Fly Me To The Moon (Remix),2:54
Forever (feat. Malou & Yuna),"HUGEL, Diplo, Malou, Yuna",Forever (feat. Malou & Yuna),2:20
South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran, Camila Cabello, Cardi B",No.6 Collaborations Project,3:24
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",HEROES & VILLAINS,3:02
بطل عالم,Marwan Moussa,عقد احتراف,3:03
Rude Boy,Rihanna,Rated R,3:42
Rock with You - Single Version,Michael Jackson,Off the Wall,3:40
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,2:57
La La La,"Naughty Boy, Sam Smith",Hotel Cabana (Deluxe Version),3:42
Matrimony,Gilbert O'Sullivan,Himself (Deluxe Edition),3:18
Funkytown,Lipps Inc.,Shrek 2 (Original Motion Picture Soundtrack),3:59
Sway,Michael Bublé,Michael Bublé,3:08
Beggin (original version),Madcon,So Dark The Con Of Man,3:36
Keep You Safe,"SHRK, Shiloh Dynasty",Sad Hours,2:16
lovely (with Khalid),"Billie Eilish, Khalid",lovely (with Khalid),3:20
Drunken Sailor,The Irish Rovers,Drunken Sailor,2:56
You're in My Head,"moow, Lotte Kestner",I Can't Tell You How Much It Hurts,1:37
Can't Tame Her,Zara Larsson,VENUS,3:16
Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",New Eyes,3:47
No Roots,Alice Merton,Mint,3:57
Empire State Of Mind,"JAY-Z, Alicia Keys",The Blueprint 3,4:36
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",Honest,3:13
Minor Setback,Lex Leosis,Minor Setback,2:31
Yalla,INNA,Inna,2:49
Lose Yourself,Eminem,Curtain Call: The Hits (Deluxe Edition),5:26
MENTE MÁ,"Nakama, Mc Staff",MENTE MÁ,1:15
Goth (Slowed + Reverb),Sidewalks and Skeletons,Goth (Slowed + Reverb),4:12
In Your Eyes (feat. Alida),"Robin Schulz, Alida",IIII,3:28
Wasted,Don Toliver,Heaven Or Hell,2:51
From the Subway Train,Vansire,Angel Youth,0:57
Dancing On The Moon,"Unknown Brain, Luke Burr",Faceless,3:40
Our Time,Lil Tecca,Virgo World,1:38
This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",Layers,3:15
BANG BANG,"Felix Jaehn, Leony",BANG BANG,2:18
Light That Leads Me (with Bebe Rexha),"Netsky, Bebe Rexha",Light That Leads Me (with Bebe Rexha),3:13
Jerk It Out,Caesars,Love For The Streets,3:15
Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",Just Keep Watching (From F1® The Movie),2:22
Johnny B. Goode,Chuck Berry,Berry Is On Top,2:41
Pump It,Black Eyed Peas,Monkey Business,3:33
How Deep Is Your Love,"Calvin Harris, Disciples",96 Months,3:32
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),4:37
Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",Shake It To The Max (FLY) (Remix),2:58
Passacaglia (Piano Version),Pianovus,Passacaglia (Piano Version),2:35
Blame (feat. John Newman),"Calvin Harris, John Newman",Motion,3:32
Light Switch,Charlie Puth,CHARLIE,3:07
Promiscuous,"Nelly Furtado, Timbaland",Loose,4:02
Bad Boys,INNA,Inna,2:46
Levitating,Dua Lipa,Future Nostalgia,3:23
My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2:50
MONTAGEM TOMADA,MXZI,MONTAGEM TOMADA,1:11
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,2:35
Sunny,Boney M.,Take The Heat Off Me,4:02
heart afire,Jodex,heart afire,3:59
In the Dark,"Purple Disco Machine, Sophie and the Giants",Exotica (Deluxe),3:05
Team Fight Tactics - Chapter 3 (From League of Legends: Season 9),League of Legends,The Music of League of Legends: Season 9 (Original Game Soundtrack),4:48
Look What You Made Me Do,Taylor Swift,reputation,3:31
raw,LOONY,soft thing,3:06
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,3:30
It's Going Down Now,"Azumi Takahashi, Lotus Juice, ATLUS Sound Team,",Persona 3 Reload Original Soundtrack,3:06
Mystery Lady,"Masego, Don Toliver",Studying Abroad: Extended Stay,3:48
The Door,Teddy Swims,I've Tried Everything But Therapy (Part 1),3:32
Do Ya Thing (feat. Young Dro),"P$C, Young Dro",25 To Life (83804/edited version),4:25
Walking On A Dream,Empire Of The Sun,Walking On A Dream (10th Anniversary Edition),3:18
Nothing Breaks Like a Heart (feat. Miley Cyrus),"Mark Ronson, Miley Cyrus",Late Night Feelings,3:37
we fell in love in october,girl in red,we fell in love in october / October Passed Me By,3:04
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION","Come Over When You're Sober, Pt. 2",3:16
"Genius (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD","LABRINTH, SIA & DIPLO PRESENT... LSD",3:33
[oops],potsu,[oops],2:22
simple.,coldbrew,simple.,1:57
Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),2:52
Die For You (with Ariana Grande) - Remix,"The Weeknd, Ariana Grande",Starboy (Deluxe),3:52
Co2,Prateek Kuhad,The Way That Lovers Do,2:43
Take My Mind,"WizTheMc, bees & honey",Take My Mind,2:51
Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,3:32
Scarface (Push It To The Limit),Paul Engemann,Scarface (Expanded Motion Picture Soundtrack),2:58
Everybody Dies In Their Nightmares,XXXTENTACION,1:35,
PARANOIA,"HEARTSTEEL, League of Legends, BAEKHYUN, , ,",PARANOIA,3:18
Softcore,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,3:26
Honeypie,JAWNY,For Abby,2:15
Take Me Home,Giulio Cercato,Take Me Home,2:49
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),4:33
Arctic Monkeys,Favourite Worst Nightmare,4:13,
Ma colombe,Nej,SOS (Chapitre 3),3:09
Not Like Us,Kendrick Lamar,Not Like Us,4:34
Make You Feel My Love,Adele,3:32,
Somewhere Only We Know,"Gustixa, rhianne",Somewhere Only We Know,3:04
Rampampam,Minelli,Rampampam,3:20
Woman,Doja Cat,Planet Her,2:52
Take Over,"League of Legends, MAX, Jeremy McKinnon of A Day To Remember,",Take Over,3:33
Wellerman - Sea Shanty,Nathan Evans,Wellerman (Sea Shanty),2:35
OWA OWA,Lil Tecca,DOPAMINE,2:12
Disturbia,Rihanna,Good Girl Gone Bad: Reloaded,3:58
Take Over,"League of Legends, MAX, Jeremy McKinnon of A Day To Remember, HENRY",Take Over,3:33
In My Mind,Lavern,In My Mind,2:00
